,text,pos,imageIds,timestamp,misspellings,news_company_found,language,num_emoji,num_hashtags,profane,retweet,label
0,"[241, 135, 72, 177, 1176, 434, 2, 1]",VB NN NN NN VBZ VBG NN NN,sandyA_fake_46,1351550041,0,0,es,0,1,0,0,0
1,"[60, 1, 11, 2270, 46, 2, 53, 31, 718, 72, 80, 24, 5]",NN JJ RB JJ NN NN VBZ IN NN NN CD JJ NN,sandyA_fake_09,1351537883,1,0,es,0,0,0,1,0
2,"[58, 7, 2, 1, 1176, 135, 718, 72, 2271, 1]",JJ NN NN JJ VBZ NN NN NN VBZ NN,sandyA_fake_09,1351534268,1,0,es,0,2,0,0,0
3,"[68, 44, 2, 11]",JJ VBD NN NN,sandyA_fake_29,1351538133,0,0,en,0,2,1,0,0
4,"[2851, 373, 131, 6, 2, 1, 57]",JJ NN NN NN NN NN NN,sandyA_fake_15,1351543562,2,0,en,1,4,0,0,0
5,"[2852, 167, 299, 6, 127, 2]",CD NN JJ JJ NN NN,sandyA_fake_23,1351625950,2,0,en,0,5,0,0,0
6,"[167, 876, 7, 2, 1, 75]",NN JJ NN NN NN NN,sandyA_fake_14,1351521664,1,0,en,0,4,0,0,0
7,"[34, 27, 2, 1, 84, 55, 353, 272, 47, 81]",JJ NN NN NN NNS VBP NN NNS VBP NN,sandyA_fake_29,1351615612,0,0,en,0,2,0,0,0
8,"[1, 13, 2, 57, 48]",JJ NN NN NN NN,sandyA_fake_15,1351565686,2,0,en,0,5,0,0,0
9,"[6, 2]",RB NN,sandyA_fake_29,1351533599,1,0,en,0,2,0,0,0
10,"[4080, 77, 225, 1102, 1, 2, 13]",NN NN JJ NN NN NN NN,sandyA_fake_08,1351536440,2,0,en,0,3,0,0,0
11,"[34, 2, 1]",JJ NN NN,sandyA_fake_29,1351569844,0,0,en,0,3,0,0,0
12,"[10, 159, 584, 1, 2]",NN NN NN NN NN,sandyA_fake_11,1351560833,1,0,en,0,5,0,0,0
13,"[58, 805, 11, 13, 48, 2, 1]",JJ NN JJ NN JJ NN NN,sandyA_fake_29,1351536910,1,0,en,0,5,0,0,0
14,"[25, 1177, 538, 2, 1]",NN VBG NN NN NN,sandyA_fake_11,1351555956,0,0,en,0,2,0,0,0
15,"[267, 4081, 2, 1, 512, 300, 109, 317, 101, 585, 59, 59, 4082]",RB JJ NN NN VBD NN VB VBD NN NN NN NN NN,sandyA_fake_29,1351603524,0,0,en,0,3,0,0,0
16,"[1700, 2853, 1941, 4083, 927, 27, 56, 49, 13, 1, 2, 148, 719]",VBN NNS NN NN VBD NN NN JJ NN JJ NN NN NN,sandyA_fake_29,1351593811,2,0,en,0,7,0,0,0
17,"[312, 84, 55, 39, 91, 483, 2, 1, 928, 228, 2272, 2854, 4084, 26]",NNS NNS VBP NNS VBG JJ NN JJ NN IN FW JJ NN NN,sandyA_fake_48,1351583048,5,0,en,0,10,0,0,0
18,"[102, 49, 3, 8, 353, 6, 13, 19, 2, 551]",VB JJ JJ NN NN JJ NN NN NN NN,sandyA_fake_29,1351539363,2,0,en,0,5,0,0,0
19,"[3, 8, 2, 1]",JJ NN NN NN,sandyA_fake_15,1351625748,0,0,en,0,2,0,0,0
20,"[929, 1518, 27, 4, 2, 1, 279, 19, 57]",RB JJS NN NN NN NN NN NN NN,sandyA_fake_34,1351553022,2,0,en,0,6,0,0,0
21,"[34, 1, 2, 111, 720, 198, 877, 81]",JJ NN NN NNS VBP JJ NN NN,sandyA_fake_28,1351607318,0,0,en,0,3,0,0,0
22,"[1103, 361, 1701, 1702, 484, 878, 2, 4, 1]",NN VBD NN NN NN VBP NN NN NN,sandyA_fake_25,1351541600,1,0,en,4,3,0,0,0
23,"[605, 14, 21, 30, 83, 678, 2855, 139, 82, 2, 1, 75]",VB JJ JJ JJR NN CD CD VBN NN NN NN NN,sandyA_fake_49,1351533469,1,0,en,0,3,0,0,0
24,"[3, 8, 2, 1, 2856]",JJ NN NN NN NN,sandyA_fake_29,1351532380,0,0,en,0,4,0,0,0
25,"[3, 8, 4085, 1, 13, 57, 2, 1, 374, 1278, 650, 464]",JJ NN VBD JJ NN NN NN NN JJ NN NN NN,sandyA_fake_48,1351600853,3,0,en,0,9,0,0,0
26,"[1519, 1178, 4086, 395, 2, 1, 1178, 4087, 122, 1942, 4088, 4089, 1943]",JJ NN NN NN NN VBD JJ JJ NN NNS JJ NN NN,sandyA_fake_35,1351635403,1,0,en,1,11,0,0,0
27,"[625, 29, 6, 2, 1]",JJ NNS VBP NN NN,sandyA_fake_17,1351606727,1,0,en,0,3,0,0,0
28,"[10, 1, 4090, 2, 6, 4091, 651, 10, 4092]",NN NN NN NN NN NN NNS VBP JJ,sandyA_fake_11,1351601869,4,0,en,0,8,0,0,0
29,"[1179, 16, 354, 2]",NN NN RB NN,sandyA_fake_09,1351550386,0,0,en,0,1,0,0,0
30,"[2, 1, 25, 6]",NN NN NN NN,sandyA_fake_34,1351546992,1,0,en,0,4,0,0,0
31,"[3, 8, 132, 156, 329, 2, 1]",JJ NN VBG JJ NN NN NN,sandyA_fake_29,1351565426,0,0,en,0,2,0,0,0
32,"[14, 21, 526, 161, 151, 4093, 85, 2857, 2, 1, 254]",NN JJ NNS RB VBP NN NN IN NN NN NN,sandyA_fake_03,1351565343,2,0,en,0,7,0,0,0
33,"[879, 1279, 2858, 2, 1, 13, 606]",NN NN NNS NN NN NN NN,sandyA_fake_29,1351595135,1,0,en,0,4,0,0,0
34,"[60, 20, 27, 139, 82, 1, 6, 199, 527, 2, 20, 279]",NN VBG NN VBN NN JJ JJ NN NN NN VBG NN,sandyA_fake_29,1351550895,3,0,en,0,7,0,0,0
35,"[930, 172, 229, 74, 2, 1, 395]",NNS JJS NN NN NN NN NN,sandyA_fake_21,1351639861,0,0,da,0,4,0,0,0
36,[2],NN,sandyA_fake_29,1351553432,0,0,en,0,1,0,0,0
37,"[841, 11, 2, 1, 57]",VBG JJ NN NN NN,sandyA_fake_09,1351582789,1,0,en,0,4,0,0,0
38,"[2, 1, 978, 31, 1376, 1944]",NN JJ NN IN NN NN,sandyA_fake_29,1351532925,0,0,en,0,2,0,0,0
39,"[34, 169, 2, 1]",NN NN NN NN,sandyA_fake_08,1351535152,0,0,en,0,2,0,0,0
40,"[25, 2, 1, 146, 17, 12]",NN NN NN JJ NN IN,sandyA_fake_29,1351537677,0,0,en,0,2,0,0,0
41,"[2273, 10, 2, 26, 2859]",JJ NN NN NN NN,sandyA_fake_11,1351554884,3,0,sq,1,3,0,0,0
42,"[20, 1104, 148, 2, 1, 679]",VBG NN NN NN NN NNS,sandyA_fake_28,1351533459,0,0,en,0,6,0,0,0
43,"[10, 38, 295, 106, 187, 26, 1, 10, 2274, 2, 1177]",NN VBG NN RB RB JJ NN NN NN NN NN,sandyA_fake_11,1351551875,2,0,en,0,6,0,0,0
44,"[1520, 2, 1, 551, 1180, 1703, 69]",JJ NN NN IN VBG NN NN,sandyA_fake_08,1351558101,0,0,en,0,11,0,0,0
45,"[2, 1, 11, 13]",NN NN NN NN,sandyA_fake_29,1351543475,1,0,en,0,4,0,0,0
46,"[2860, 1105, 4094, 60, 31, 385, 131, 1377, 73, 931, 2, 1]",NN NN JJ NN IN NN NN NNS VBP JJ NN NN,sandyA_fake_29,1351549407,2,0,en,0,4,0,0,0
47,"[2, 1, 11, 13, 118, 48, 650, 2861, 2275, 4095, 1704, 680, 296]",NN NN JJ NN NN JJ NN NN NN NN NN NN NN,sandyA_fake_29,1351600572,5,0,en,0,14,0,0,0
48,"[13, 34, 33, 17, 2, 82, 148, 145]",NN JJ NN NN NN NN NN CD,sandyA_fake_48,1351577998,1,0,en,0,8,0,0,0
49,"[10, 6, 29, 1, 2]",NN JJ VBZ JJ NN,sandyA_fake_05,1351561041,1,0,en,1,5,0,0,0
50,"[16, 295, 317, 10, 38, 323, 40, 63, 22, 159, 2, 1280]",NN NN VBD NN NN NN VBD JJ NN JJ NN NN,sandyA_fake_11,1351700576,2,0,en,1,3,0,0,0
51,"[95, 47, 81, 267, 255, 312, 2276, 2, 1, 273]",NN IN NN RB RB NNS VBP NN NN NN,sandyA_fake_29,1351540777,1,0,en,0,3,0,0,0
52,"[880, 24, 191, 73, 1, 2, 4096]",NN JJ NN NN JJ NN NN,sandyA_fake_05,1351543484,1,0,en,0,4,1,0,0
53,"[145, 57, 6, 131, 2862, 2, 1]",CD NN JJ NN VBZ NN NN,sandyA_fake_06,1351564667,2,0,en,2,7,0,0,0
54,"[11, 2, 289]",RB NN NN,sandyA_fake_29,1351541705,0,0,en,0,3,0,0,0
55,"[1181, 19, 2, 1]",NN NN NN NN,sandyA_fake_08,1351737872,0,0,en,0,2,0,0,0
56,"[1182, 13, 6, 4097, 2, 1]",NN NN JJ NN NN NN,sandyA_fake_17,1351537877,4,0,en,0,6,0,0,0
57,"[13, 2, 1]",NN NN NN,sandyA_fake_29,1351534501,1,0,en,0,3,0,0,0
58,"[95, 353, 272, 47, 81, 102, 49, 2, 1, 4098, 19, 679, 2277]",NN NN NNS VBP NN NN JJ NN NN NN NN NN NN,sandyA_fake_29,1351533699,1,0,en,0,6,0,0,0
59,[2],NN,sandyA_fake_09,1351579650,0,0,en,0,1,0,0,0
60,"[2, 1, 6]",NN NN NN,sandyA_fake_29,1351530535,1,0,en,3,3,0,0,0
61,"[51, 373, 31, 5, 881, 60, 35, 1, 6, 279, 2]",RB NN IN NN NN NN JJ NN NN NN NN,sandyA_fake_13,1351527670,2,0,en,0,4,0,1,0
62,"[195, 1705, 1521, 2863, 1378, 1, 2]",JJ NN NN NN NN VBD NN,sandyA_fake_12,1351621481,2,0,en,0,4,0,0,0
63,"[13, 1945, 2, 1280, 4099, 1183]",NN NN NN NN NN NN,sandyA_fake_29,1351531046,3,0,en,1,5,0,0,0
64,"[2, 1, 6]",NN NN NN,sandyA_fake_29,1351531853,1,0,en,3,3,0,0,0
65,"[68, 13, 2, 1, 199, 11, 4100]",JJ NN NN JJ NN NN NN,sandyA_fake_09,1351537768,3,0,en,0,6,0,0,0
66,"[681, 4101, 4102, 2864, 4103, 719, 4104, 1, 1036, 2278, 2, 11, 1522]",NN NN NN NN NNS VBP JJ JJ NN JJ NN NN NN,sandyA_fake_09,1351543774,5,0,en,0,5,0,0,0
67,"[1, 2, 721, 48]",JJ NN NN NN,sandyA_fake_47,1351604949,0,0,es,0,4,0,0,0
68,"[13, 2, 4105]",NN NN NN,sandyA_fake_29,1351598554,2,0,en,1,3,0,0,0
69,"[3, 8, 484, 340, 652, 1, 2, 13, 324]",JJ NN NN TO VBN JJ NN NN VBD,sandyA_fake_29,1351607999,1,0,en,0,4,1,0,0
70,"[605, 14, 21, 30, 83, 678, 2855, 139, 82, 2, 1, 75]",VB JJ JJ JJR NN CD CD VBN NN NN NN NN,sandyA_fake_49,1351534154,1,0,en,0,3,0,0,0
71,"[1706, 2279, 1281, 386, 1, 2, 1523, 1524]",IN IN NN VBG JJ NN VBG NN,sandyA_fake_29,1351564548,1,0,en,0,5,1,0,0
72,"[1379, 528, 10, 122, 159, 2, 1]",JJ NN NN NN NN NN NN,sandyA_fake_11,1351580800,1,0,en,0,6,0,0,0
73,"[776, 140, 11, 2, 1, 57]",NN VBG JJ NN NN NN,sandyA_fake_15,1351566853,1,0,en,0,3,0,0,0
74,"[1106, 19, 1, 19, 148, 101, 6, 2, 1, 1106, 4106, 13, 2865]",JJ NN NN NN NN NN NN NN NN JJ NN NN NN,sandyA_fake_29,1351532251,3,0,en,0,10,0,0,0
75,"[34, 2, 362]",JJ NN NN,sandyA_fake_29,1351546687,1,0,en,0,2,0,0,0
76,"[341, 398, 228, 4107, 13, 1, 2]",NN NN IN FW NN NN NN,sandyA_fake_09,1351783066,2,0,en,0,3,0,0,0
77,"[1, 6, 2]",JJ NNS NN,sandyA_fake_29,1351535310,1,0,en,0,3,0,0,0
78,"[2, 1, 10]",NN NN NN,sandyA_fake_05,1351568106,0,0,en,0,3,0,0,0
